datetime,wind speed at 100m (m/s)
2012-04-01 00:00:00,14.386
2012-04-01 00:10:00,13.992
2012-04-01 00:20:00,14.316
2012-04-01 00:30:00,13.44
2012-04-01 00:40:00,12.872
2012-04-01 00:50:00,12.466
2012-04-01 01:00:00,11.792
2012-04-01 01:10:00,11.453
2012-04-01 01:20:00,13.88
2012-04-01 01:30:00,9.405
2012-04-01 01:40:00,11.285
2012-04-01 01:50:00,11.581
2012-04-01 02:00:00,12.054
2012-04-01 02:10:00,9.1
2012-04-01 02:20:00,9.21
2012-04-01 02:30:00,8.792
2012-04-01 02:40:00,8.816
2012-04-01 02:50:00,9.829
2012-04-01 03:00:00,9.698
2012-04-01 03:10:00,10.754
2012-04-01 03:20:00,9.64
2012-04-01 03:30:00,8.038
2012-04-01 03:40:00,7.068
2012-04-01 03:50:00,11.141
2012-04-01 04:00:00,9.021
2012-04-01 04:10:00,10.532
2012-04-01 04:20:00,8.188
2012-04-01 04:30:00,6.72
2012-04-01 04:40:00,6.097
2012-04-01 04:50:00,5.481
2012-04-01 05:00:00,4.77
2012-04-01 05:10:00,4.245
2012-04-01 05:20:00,5.395
2012-04-01 05:30:00,4.425
2012-04-01 05:40:00,3.424
2012-04-01 05:50:00,3.601
2012-04-01 06:00:00,3.531
2012-04-01 06:10:00,3.186
2012-04-01 06:20:00,3.125
2012-04-01 06:30:00,3.115
2012-04-01 06:40:00,3.134
2012-04-01 06:50:00,2.929
2012-04-01 07:00:00,2.441
2012-04-01 07:10:00,1.837
2012-04-01 07:20:00,1.696
2012-04-01 07:30:00,1.321
2012-04-01 07:40:00,0.839
2012-04-01 07:50:00,0.329
2012-04-01 08:00:00,0.952
2012-04-01 08:10:00,1.233
2012-04-01 08:20:00,1.474
2012-04-01 08:30:00,1.864
2012-04-01 08:40:00,1.898
2012-04-01 08:50:00,1.895
2012-04-01 09:00:00,2.008
2012-04-01 09:10:00,2.032
2012-04-01 09:20:00,2.212
2012-04-01 09:30:00,2.319
2012-04-01 09:40:00,2.282
2012-04-01 09:50:00,2.099
2012-04-01 10:00:00,2.328
2012-04-01 10:10:00,2.441
2012-04-01 10:20:00,2.612
2012-04-01 10:30:00,2.633
2012-04-01 10:40:00,2.426
2012-04-01 10:50:00,2.313
2012-04-01 11:00:00,2.212
2012-04-01 11:10:00,1.983
2012-04-01 11:20:00,2.017
2012-04-01 11:30:00,2.352
2012-04-01 11:40:00,2.505
2012-04-01 11:50:00,2.53
2012-04-01 12:00:00,2.829
2012-04-01 12:10:00,3.253
2012-04-01 12:20:00,3.381
2012-04-01 12:30:00,3.415
2012-04-01 12:40:00,3.558
2012-04-01 12:50:00,3.732
2012-04-01 13:00:00,3.616
2012-04-01 13:10:00,3.283
2012-04-01 13:20:00,2.984
2012-04-01 13:30:00,2.725
2012-04-01 13:40:00,2.624
2012-04-01 13:50:00,2.716
2012-04-01 14:00:00,2.78
2012-04-01 14:10:00,2.832
2012-04-01 14:20:00,2.853
2012-04-01 14:30:00,2.85
2012-04-01 14:40:00,3.134
2012-04-01 14:50:00,3.384
2012-04-01 15:00:00,3.588
2012-04-01 15:10:00,3.878
2012-04-01 15:20:00,3.738
2012-04-01 15:30:00,3.57
2012-04-01 15:40:00,3.665
2012-04-01 15:50:00,3.613
2012-04-01 16:00:00,3.231
2012-04-01 16:10:00,3.244
2012-04-01 16:20:00,3.311
2012-04-01 16:30:00,3.295
2012-04-01 16:40:00,3.143
2012-04-01 16:50:00,3.088
2012-04-01 17:00:00,3.173
2012-04-01 17:10:00,3.195
2012-04-01 17:20:00,3.064
2012-04-01 17:30:00,2.987
2012-04-01 17:40:00,2.719
2012-04-01 17:50:00,2.566
2012-04-01 18:00:00,2.572
2012-04-01 18:10:00,2.471
2012-04-01 18:20:00,2.368
2012-04-01 18:30:00,2.368
2012-04-01 18:40:00,2.41
2012-04-01 18:50:00,2.539
2012-04-01 19:00:00,2.572
2012-04-01 19:10:00,2.343
2012-04-01 19:20:00,2.212
2012-04-01 19:30:00,2.117
2012-04-01 19:40:00,1.992
2012-04-01 19:50:00,1.831
2012-04-01 20:00:00,1.837
2012-04-01 20:10:00,2.029
2012-04-01 20:20:00,2.2
2012-04-01 20:30:00,2.148
2012-04-01 20:40:00,2.142
2012-04-01 20:50:00,2.227
2012-04-01 21:00:00,2.279
2012-04-01 21:10:00,2.227
2012-04-01 21:20:00,2.063
2012-04-01 21:30:00,1.971
2012-04-01 21:40:00,1.773
2012-04-01 21:50:00,1.593
2012-04-01 22:00:00,1.422
2012-04-01 22:10:00,1.391
2012-04-01 22:20:00,1.538
2012-04-01 22:30:00,1.693
2012-04-01 22:40:00,1.913
2012-04-01 22:50:00,2.066
2012-04-01 23:00:00,2.075
2012-04-01 23:10:00,2.093
2012-04-01 23:20:00,2.13
2012-04-01 23:30:00,2.084
2012-04-01 23:40:00,1.895
2012-04-01 23:50:00,2.05
2012-04-02 00:00:00,2.16
2012-04-02 00:10:00,2.072
2012-04-02 00:20:00,2.374
2012-04-02 00:30:00,2.371
2012-04-02 00:40:00,1.843
2012-04-02 00:50:00,1.223
2012-04-02 01:00:00,0.985
2012-04-02 01:10:00,1.364
2012-04-02 01:20:00,1.629
2012-04-02 01:30:00,1.614
2012-04-02 01:40:00,1.522
2012-04-02 01:50:00,1.4
2012-04-02 02:00:00,1.629
2012-04-02 02:10:00,1.876
2012-04-02 02:20:00,2.032
2012-04-02 02:30:00,1.977
2012-04-02 02:40:00,1.876
2012-04-02 02:50:00,1.876
2012-04-02 03:00:00,1.931
2012-04-02 03:10:00,2.035
2012-04-02 03:20:00,2.197
2012-04-02 03:30:00,2.227
2012-04-02 03:40:00,2.328
2012-04-02 03:50:00,2.334
2012-04-02 04:00:00,2.261
2012-04-02 04:10:00,2.148
2012-04-02 04:20:00,2.13
2012-04-02 04:30:00,2.209
2012-04-02 04:40:00,2.166
2012-04-02 04:50:00,2.029
2012-04-02 05:00:00,1.95
2012-04-02 05:10:00,1.806
2012-04-02 05:20:00,1.684
2012-04-02 05:30:00,1.681
2012-04-02 05:40:00,1.693
2012-04-02 05:50:00,1.718
2012-04-02 06:00:00,1.708
2012-04-02 06:10:00,1.696
2012-04-02 06:20:00,1.675
2012-04-02 06:30:00,1.712
2012-04-02 06:40:00,1.827
2012-04-02 06:50:00,1.812
2012-04-02 07:00:00,1.733
2012-04-02 07:10:00,1.666
2012-04-02 07:20:00,1.522
2012-04-02 07:30:00,1.357
2012-04-02 07:40:00,1.269
2012-04-02 07:50:00,1.229
2012-04-02 08:00:00,1.199
2012-04-02 08:10:00,1.205
2012-04-02 08:20:00,1.138
2012-04-02 08:30:00,1.092
2012-04-02 08:40:00,1.077
2012-04-02 08:50:00,1.178
2012-04-02 09:00:00,1.232
2012-04-02 09:10:00,1.284
2012-04-02 09:20:00,1.184
2012-04-02 09:30:00,1.236
2012-04-02 09:40:00,1.284
2012-04-02 09:50:00,1.223
2012-04-02 10:00:00,1.266
2012-04-02 10:10:00,1.278
2012-04-02 10:20:00,1.171
2012-04-02 10:30:00,1.08
2012-04-02 10:40:00,1.159
2012-04-02 10:50:00,1.297
2012-04-02 11:00:00,1.467
2012-04-02 11:10:00,1.577
2012-04-02 11:20:00,1.718
2012-04-02 11:30:00,1.843
2012-04-02 11:40:00,1.977
2012-04-02 11:50:00,2.246
2012-04-02 12:00:00,2.563
2012-04-02 12:10:00,2.792
2012-04-02 12:20:00,3.118
2012-04-02 12:30:00,3.521
2012-04-02 12:40:00,3.854
2012-04-02 12:50:00,4.187
2012-04-02 13:00:00,4.379
2012-04-02 13:10:00,4.62
2012-04-02 13:20:00,4.818
2012-04-02 13:30:00,4.922
2012-04-02 13:40:00,4.742
2012-04-02 13:50:00,4.553
2012-04-02 14:00:00,4.446
2012-04-02 14:10:00,4.339
2012-04-02 14:20:00,4.318
2012-04-02 14:30:00,4.3
2012-04-02 14:40:00,4.458
2012-04-02 14:50:00,4.489
2012-04-02 15:00:00,4.58
2012-04-02 15:10:00,4.693
2012-04-02 15:20:00,4.751
2012-04-02 15:30:00,4.864
2012-04-02 15:40:00,4.919
2012-04-02 15:50:00,5.081
2012-04-02 16:00:00,5.233
2012-04-02 16:10:00,5.453
2012-04-02 16:20:00,5.597
2012-04-02 16:30:00,5.719
2012-04-02 16:40:00,5.758
2012-04-02 16:50:00,5.841
2012-04-02 17:00:00,5.899
2012-04-02 17:10:00,6.057
2012-04-02 17:20:00,6.241
2012-04-02 17:30:00,6.384
2012-04-02 17:40:00,6.421
